index,sku,productId,name,new,regularPrice,salePrice,customerReviewCount,customerReviewAverage,freeShipping,onlineAvailability,onlineAvailabilityText,releaseDate,shippingCost,shortDescription,manufacturer,inStorePickup,esrbRating,longDescription,onlineAvailability_notAvailable,onlineAvailability_preOrder,onlineAvailability_soldOut,onlineAvailability_businessDay1,onlineAvailability_businessDay12,esrb_everyone10,esrb_everyone,esrb_mature,esrb_pending,esrb_teen,genre,esrb_description
0,1004622,1.21821E+12,Sniper: Ghost Warrior,0,19.99,19.99,7,3.4,1,1,Shipping: Usually ships in 1-2 business days,7/1/2010,0,control power death ghost jungl,City Interactive,1,M=Mature,hand steadi lock onto target scope train unsuspect man templ breath slow time seem wait fatal moment squeez trigger aim sure resolv unwav man crumpl ground even hear shot claim yet anoth clean kill without ounc remors reload scan next target men overthrew democrat govern isla trueno idea consequ fate seal covert effort enough overthrow ruthless despot walk jungl south america silent invis hand death time enemi learn presenc alreadi late ghost warrior sniper ghost warrior take thrill journey influenc tide govern shadow enemi see come work spotter slow breath calcul effect weather distanc falloff arsenal weapon dispos usual one bullet need watch take target precis bullet cam mode engag real time assault section action never end plenti differ play opportun includ sniper vs sniper real time tactic assault fix machin gun combat scenario,0,0,0,0,1,0,0,1,0,0,na,na
1,1010544,1.21821E+12,Monopoly Streets,0,29.99,29.99,3,4,0,0,Shipping: Not available,11/8/2010,,say monopoli illeg,Electronic Arts,0,E=Everyone,watch teammat roll dice hold sigh regret one number less would rake big time eye board weigh odd close game mogul right swallow properti like water right throw littl bit luck may still score big hold three railroad palm hand one hit jackpot grab ivori cube toss wait fate number final score read railroad doom rent pay futur monopoli street reinvigor classic game fortun whole new format explor street favorit town journey cheap motel baltic avenu ritzi boardwalk suit watch fortun rise fall player headquart chang luxuri mansion dilapid hut back lucki feel competit use street smart auction properti break rival bank even challeng player worldwid excit onlin play set standard opportun set save hous rule play longer shorter abil creat xbox avatar get stuck play thimbl ever round board classic game mode explor new game twist monopoli citi monument citi download extra theme board token onlin chang adventur keep pass go jump excit classic game watch reach top there nowher go back,1,0,0,0,0,0,1,0,0,0,board game trivia,na
2,1011067,1.21821E+12,MySims: SkyHeroes,0,19.99,19.99,1,2,0,0,Shipping: Not available,9/28/2010,,take sky high fli action,Electronic Arts,0,E10+=Everyone 10+,bright blue sky stretch bank left dodg rain enemi fire plane smooth turn crane neck get look evil drone dog burst gunfir startl time surpris teammat plane plummet air right wing fire fall fast bright white parachut blossom breath sigh relief short live fight overwhelm odd take unflag courag skill expert beat villain fast pace aerial combat take mysim skyhero take great blue defeat dastard foe lead resist morcubus find face face impress odd evil drone come top help friend split screen co op play face enemi dogfight air raid rescu mission epic boss battl strain even expert flyer talent technolog back progress level upgrad wing switch engin paint plane camouflag gain advantag enemi take dogfight onlin massiv multiplay battl 10 player plane like ski limit accomplish,1,0,0,0,0,1,0,0,0,0,flight,cartoon violenc
3,1011491,1.21821E+12,FIFA Soccer 11,0,12.99,12.99,18,4.6,1,0,Shipping: Not available,9/28/2010,,soccer action got lot person,EA SPORTS,0,E=Everyone,hurtl field cleat bare dig dirt almost run air lightn quick feet ball move perfect unison bodi one unit pivot left eke past limb defend dive right avoid pummel collis break away sprint fli open field could break thrust team victori legendari status could pull maneuv quit like skill place talent pure blast ball past keeper captur glori lace cleat fifa soccer 11 step shoe soccer great realism dead accuraci ever dribbl pass score exact style player emul even celebr like thank new person featur maneuv tight turn dribbl defens like barcelona iniesta deliv crisp creativ pass like real madrid kaka anticip offens attack like juventus chiellini advanc control ai realism mean swift pass new pass type gritti 360 collis new goalkeep intuit factor creat electr tournament experi dream craft team custom crowd chant even hear name announc speaker get action onlin fight rise top leaderboard compar stat friend shape soccer legaci,1,0,0,0,0,0,1,0,0,0,sport outdoor,na
4,1011831,1.21821E+12,Hasbro Family Game Night 3,0,9.99,9.99,2,3.5,0,0,Shipping: Not available,10/26/2010,,take fun amus park,Electronic Arts,0,E=Everyone,watch favorit game come life new theme park set hasbro famili game night 3 entir famili enjoy digit version favorit game brand brought life amus park lovabl mr potato head return host park guid featur classic remix version famili game night let spin wheel fate game life find whodunit clue tie knot twister trigger crazi chain reaction mous trap tri hand yahtze hand hasbro famili game night 3 crank fun factor local multiplay capabl four player let compet player around world track victori onlin leaderboard bring famili togeth night hilar qualiti time like never next generat onlin game aim keep entertain hour full avatar integr also add person touch game night experi make famili wish everi night famili game night,1,0,0,0,0,0,1,0,0,0,board game trivia,mild violenc
5,1012721,1.21821E+12,The Sims 3,0,19.99,19.99,13,3.8,0,0,Shipping: Not available,10/26/2010,,give sim run neighborhood excit new edit,Electronic Arts,0,T=Teen,throw open door new realm sim style fun sim 3 xbox 360 excit featur pack new edit sim sim longer confin home environ entir neighborhood await outsid door teem neighbor friend new opportun fun adventur mischief set sim free explor excit live neighborhood fill possibl help live unfold new way enjoy complet life simul experi rule brand new sim world pack enhanc heighten fun adventur guid charact simul live sim 3 let creat sim uniqu person fulfil dream control live within interact neighborhood custom fine tune sim appear choos million differ person make evil romant paranoid kleptomaniac blend someth complet differ construct home sim dream tool draw wall floor decor object textur use build upgrad improv look town unlock new karma power bless sim wealth beauti love curs take everyth away share creation onlin download content player around globe take complet short long term challeng earn reward share achiev friend onlin let sim destini fulfil let dream die sim live live becom rock star world leader expert thiev power control world choos guid sim life,1,0,0,0,0,0,0,0,0,1,strategi simul,crude humor sexual theme violenc
6,1012876,1.21821E+12,Two Worlds II,0,39.99,39.99,8,3.4,1,0,Shipping: Not available,1/25/2011,0,never much adventur even two world ii,SouthPeak,0,M=Mature,majest landscap antaloor stretch make mark land excit adventur world see new instal belov rpg two world journey land mysteri battl stand one two world two world ii take back antaloor control ever develop skill choos class progress huge skill tree possibl expand combat opportun allow battl way hostil land mele attack activ block system mount combat duel wield dirti new trick keep enemi toe build rang battl skill upgrad enhanc weapon right attent dedic may turn ordinari sword weapon infami give sword break decim enemi e n magic system exercis creativ combin element produc perfect spell destruct opportun explor world fill action adventur may want take breath challeng villag mode focus build maintain communiti complet villag quest explor world teem possibl focus build metropoli choic head adventur lifetim rich environ turn two world ii virtual home,1,0,0,0,0,0,0,1,0,0,role play,blood partial nuditi sexual theme strong languag violenc
7,1013666,1.21821E+12,Call of Duty: The War Collection,0,68.18,68.18,2,4.5,1,0,Shipping: Not available,6/15/2010,7.85,experi raw vicious intens histori brutal time,Activision,0,M=Mature,draft time travel globe fight protect alli interest expans axi power place heart world war ii deadliest combat zone fight desert sand northern africa ravag street russian citi island south pacif beach normandi reliv histori brutal battl foreign soil strive preserv justic honor freedom around world call duti war collect thrust vicious brutal raw energi world war ii call duti 2 call duti 3 call duti world war sequel award win call duti call duti 2 let choos role explor open end battlefield employ whatev tactic want accomplish mission immers intens realist battl ever cod 2 engin prepar storm beach normandi alli harrow militari oper wwii call duti 3 close quarter battl mechan place fierc hand hand face face combat german forc dramat stori told call duti signatur cinemat intens assum role u marin russian soldier wane day second world war call duti world war experi heart pound intens conflict across multipl contin dead swamp ambush tree top sniper fearless kamikaz attack action explod screen battl world rest hand,1,0,0,0,0,0,0,1,0,0,shooter,na
8,1014064,1.21821E+12,Castlevania: Lords of Shadow,0,7.99,7.99,4,4.8,0,0,Shipping: Not available,10/5/2010,,save world end day,Konami,0,M=Mature,castlevania lord shadow end day come world turmoil earth allianc heaven threaten dark malevol forc mysteri lord shadow dark reign throughout world across shatter land soul dead wander unabl find peac whilst creatur evil roam free wreak chao death upon live step role gabriel member brotherhood light elit group holi knight protect defend innoc supernatur belov wife brutal murder evil forc dark soul trap etern neither live dead realiz horrif truth stake guid destini hope salvat world cost travel destroy world gabriel holi knight sworn protect innoc defeat supernatur evil afflict earth must journey across earth defeat evil tyrant assum power bring balanc back world swing across chasm climb sheer wall rappel cliff grip pull away thing lay path test mind ingeni puzzl along way unlock new item unfurl whole world investig rich mani rout hidden secret place contain item aid quest leav stone unturn never know might find arm versatil combat cross ultim encount three faction lord shadow mission end unholi rule quest,1,0,0,0,0,0,0,1,0,0,action adventur,blood gore nuditi violenc blood gore nuditi violenc
9,1032361,1.21821E+12,Need for Speed: Hot Pursuit,0,19.99,19.99,45,4.2,1,1,Shipping: Usually leaves our warehouse in 1 business day,11/16/2010,0,switch gear feel need need speed,Electronic Arts,1,E10+=Everyone 10+,fasten seatbelt get readi drive like life depend peril mountain arid desert thick forest threaten safeti everi turn speed extrem seacrest counti landscap biggest hazard hot tail cop chase reckless pursuit friend turn away law feel bullet high power weapon shatter glass whizz past ear stare cours ahead twist steer wheel throttl ahead heart stop hot pursuit life danger everi moment can't slow freedom maneuv away one concern need speed race never chase like need speed hot pursuit time experi thrill chase rush escap one day get behind wheel cop law break racer race real life competit connect friend onlin multiplay action compar perform stat stake come top hot pursuit prove abil gut need speed,0,0,0,1,0,1,0,0,0,0,race,violenc
10,1052221,1.21821E+12,Marvel vs. Capcom 3: Fate of Two Worlds,0,19.99,19.99,11,4,1,0,Shipping: Not available,2/15/2011,,readi next legendari faceoff,Capcom,0,T=Teen,readi two power univers collid latest instal marvel vs capcom franchis wild top gameplay await team favorit charact marvel capcom univers battl live comic book style world unleash power move combo attack combat popular charact vivid design arena blur boundari 2d 3d graphic prepar step marvel capcom univers like never marvel vs capcom 3 fate two world power advanc version mt framework marvel vs capcom 3 deliv vivid background lifelik charact anim live comic book art style obscur boundari two dimension three dimension graphic bring favorit charact life move comic style player choos cast popular franchis charact includ ryu wolverin morrigan iron man hulk chris redfield captain america felicia well first timer seri marvel deadpool capcom dant build perfect team fighter complet special move assist attack three three tag team fight unleash furi battl oppon head head new battl system team aerial combo take mind read fight game whole new level readi next legendari faceoff,1,0,0,0,0,0,0,0,0,1,fight,mild languag partial nuditi sexual theme violenc
11,1066233,1.21822E+12,Guitar Hero: Warriors of Rock,0,29.99,29.99,5,4.8,0,0,Shipping: Not available,9/28/2010,,use guitar hero skill epic quest save rock,Activision,0,T=Teen,guitar hero warrior rock join friend epic journey save rock featur impress 90 track setlist total redesign rock inspir guitar control host new gameplay featur live room legend friend strum drum wail immers music videogam experi date deliv quintessenti rock music collect focus guitar shred hit band black sabbath slipknot megadeth larger life band anthem queen muse kiss player unleash inner rock warrior reward unlock content ever guitar hero warrior rock quest mode franchis first ever stori base mode quickplay invit challeng starv fanat test rock skill run power guitar hero engin expand refin encor addict award win gameplay featur made guitar hero one popular franchis time parti play competit mode combin four instrument game offer complet interact connect experi bring friend foe stage ultim rock music experi,1,0,0,0,0,0,0,0,0,1,music danc parti,lyric mild fantasi violenc mild suggest theme
12,1066515,1.21822E+12,DJ Hero 2,0,9.99,9.99,6,4.7,0,0,Shipping: Not available,10/19/2010,,take turntabl becom greatest mix master ever fill danc floor,Activision,0,T=Teen,light flash dark air hot headi bass throb danc floor flood peopl disc spin wild abl finger craft blister beat drive crowd master dj club fingertip music enchant cast spell entir danc floor must keep concentr scratch mix blast beat right way keep parti go scene music king dj hero return turntabl music mix magic ever spin togeth hottest track blaze chart legendari club anthem biggest artist pop danc hip hop includ dr dre chemic brother kany west deadmau5 ladi gaga rihanna 85 other use huge new catalog song dj hero 2 creat brand new beat scratch sampl 70 speaker blow mashup hottest djs produc around world time around turntabl magic full parti new social mode pit spin rival pair rapper friend accumul checkpoint streaker let prove best dj hous challeng friend multiplay mode take mix master skill next level hit road work way top major entertain empir new empir mode scratch mix sampl acclaim dj hero turntabl friend grab mic unleash vocal talent along screen lyric transform hous hous parti parti play mode let mix play allow jump jump seiz control play along without ever stop music break industri climb chart fill danc floor rhythm swagger techniqu take beat top,1,0,0,0,0,0,0,0,0,1,music danc parti,lyric mild suggest theme
13,1066551,1.21822E+12,WWE SmackDown vs. Raw 2011,0,29.99,29.99,10,4.5,0,0,Shipping: Not available,10/26/2010,,slam sweep smash way superstar status,THQ,0,T=Teen,watch jack swagger chokeslam way slew superstar undertak rip mask face oppon miz pin reign champ fatal 4 way match step ring wwe smackdown vs raw game mayb even strong feroci enough defeat odd take home heavyweight titl never felt bone crunch blow unleash jaw drop suplex lock grip death hold like everi sweep slam smash affect ultim destini pin enemi becom greatest heavyweight champ time get smack road wrestlemania take ring time around power ever place extrem abl stone crush hand seiz chanc decid everi punch control everi kick even creat finish move pave individu road wrestlemania epic battl bring smackdown vs raw life becom ultim superstar diva custom wrestl person way want exhilar match everi move make look like right ring thank advanc movement physic technolog authent skin textur action real smackdown vivid championship titl within grasp take superstar,1,0,0,0,0,0,0,0,0,1,sport outdoor,blood languag suggest theme violenc
28,1067848,1.21822E+12,Homefront,0,19.99,19.99,59,2.7,1,0,Shipping: Not available,3/15/2011,0,make america home free,THQ,1,M=Mature,learn homefront flash demo synopsishom use heart america use free home noth bleak landscap wall town abandon suburb high school stadium becom detent center shop mall shelter armor attack vehicl fear despair crept unit state knew love worldwid conflict dwindl resourc econom crisi taken toll 2027 savag nuclear arm greater korean republ clench us brutal occup enemi forgot one littl thing usa may seiz land weaken state one weaken spirit american peopl sinc georg washington led patriot revolutionari war america fought battl vital freedom nation close heart peopl sinc band togeth protect homefront take front line alongsid color charact resist employ dare guerrilla tactic command militari vehicl unleash epic warfar across sprawl battlefield first person sharpshoot action heart pound hair rais exhilar struggl spring life take fight onlin experi multiplay infantri helicopt drone battl like never seen enter ghost town resid reloc nearbi labor camp suburb xbox 360 exclus multiplay map featur empti hous build infantri drone map offer extens cover locat rooftop tree hous make ideal sniper locat mask fear take weapon hand bear titl american pride call save homefront,1,0,0,0,0,0,0,1,0,0,shooter,blood strong languag violenc blood strong languag violenc
29,1067948,1.21822E+12,Red Faction: Armageddon,0,19.99,19.99,7,3.3,1,0,Shipping: Not available,6/7/2011,0,fight protect red planet new terrifi threat,THQ,1,M=Mature,50 year sinc red faction resist maraud alli liber red planet brutal earth defens forc howev harmoni threaten massiv terraform suppli mar earth like air water destroy caus balanc atmospher transform chao colonist forc flee underground begin live beneath surfac darius mason grandson martian revolut hero alec mason samanya run danger yet lucrat busi carri job other fear darius trick enter old maraud templ reopen mysteri shaft releas long sleep evil unleash armageddon across mar darius red faction protect colonist maraud settlement save mankind evil envelop red planet red faction armageddon place role darius mason man born colonist maraud blood must save mankind unspeak evil resurfac latest instal red faction franchis must travel across storm blast red planet surfac take arm terrifi new forc threaten sake mankind abl uphold famili tradit fight freedom mar protect settlement mysteri lethal forc,1,0,0,0,0,0,0,1,0,0,shooter,blood gore strong languag violenc
